C,class_weight,cls_name,dual,fit_intercept,intercept_scaling,log_time,max_iter,multi_class,n_jobs,penalty,random_state,solver,test_accuracy,test_shape,time_test_test,time_test_train,time_training,tol,train_accuracy,train_shape,verbose,warm_start
81,,LogisticRegression,False,True,1,2018-01-26 18:07:24,1000,ovr,1,l2,,liblinear,73.9393939394,"(9900, 45)",0.004501819610595703,0.0009970664978027344,0.04784965515136719,0.0001,100.0,"(500, 45)",0,False
9,,LogisticRegression,False,True,1,2018-01-26 18:07:24,1000,ovr,1,l2,,liblinear,75.7171717172,"(9900, 45)",0.0020203590393066406,0.00027942657470703125,0.03841853141784668,0.0001,98.6,"(500, 45)",0,False
243,,LogisticRegression,False,True,1,2018-01-26 18:07:24,1000,ovr,1,l2,,liblinear,73.0101010101,"(9900, 45)",0.003611326217651367,0.00048279762268066406,0.05080676078796387,0.0001,100.0,"(500, 45)",0,False
27,,LogisticRegression,False,True,1,2018-01-26 18:07:24,1000,ovr,1,l2,,liblinear,75.0707070707,"(9900, 45)",0.0019481182098388672,0.00027632713317871094,0.041376590728759766,0.0001,99.4,"(500, 45)",0,False
81,,LogisticRegression,False,True,1,2018-01-28 19:23:43,1000,ovr,1,l2,,liblinear,86.1,"(1000, 784)",0.00579833984375,0.2985646724700928,420.108033657074,0.0001,95.2133333333,"(45000, 784)",0,False
0.3333333333333333,,LogisticRegression,False,True,1,2018-01-28 19:25:33,1000,ovr,1,l2,,liblinear,89.7,"(1000, 784)",0.004250526428222656,0.28861093521118164,109.45229053497314,0.0001,94.4822222222,"(45000, 784)",0,False
0.012345679012345678,,LogisticRegression,False,True,1,2018-01-28 19:26:19,1000,ovr,1,l2,,liblinear,90.1,"(1000, 784)",0.0049741268157958984,0.2965703010559082,46.055466175079346,0.0001,92.4755555556,"(45000, 784)",0,False
27,,LogisticRegression,False,True,1,2018-01-28 19:31:58,1000,ovr,1,l2,,liblinear,87.1,"(1000, 784)",0.009493350982666016,0.44652438163757324,337.9753797054291,0.0001,95.1377777778,"(45000, 784)",0,False
1,,LogisticRegression,False,True,1,2018-01-28 19:34:29,1000,ovr,1,l2,,liblinear,89.8,"(1000, 784)",0.005431175231933594,0.2750263214111328,150.9784288406372,0.0001,94.7488888889,"(45000, 784)",0,False
3,,LogisticRegression,False,True,1,2018-01-28 19:37:28,1000,ovr,1,l2,,liblinear,89.0,"(1000, 784)",0.0063934326171875,0.3007016181945801,178.37769508361816,0.0001,94.9022222222,"(45000, 784)",0,False
0.037037037037037035,,LogisticRegression,False,True,1,2018-01-28 19:38:17,1000,ovr,1,l2,,liblinear,90.6,"(1000, 784)",0.0038444995880126953,0.28119754791259766,49.298306941986084,0.0001,93.4777777778,"(45000, 784)",0,False
9,,LogisticRegression,False,True,1,2018-01-28 19:41:31,1000,ovr,1,l2,,liblinear,88.5,"(1000, 784)",0.0038938522338867188,0.22316360473632812,193.0092010498047,0.0001,95.0244444444,"(45000, 784)",0,False
0.1111111111111111,,LogisticRegression,False,True,1,2018-01-28 19:42:17,1000,ovr,1,l2,,liblinear,90.2,"(1000, 784)",0.003602266311645508,0.22476792335510254,46.512919902801514,0.0001,94.0711111111,"(45000, 784)",0,False
0.00411522633744856,,LogisticRegression,False,True,1,2018-01-28 19:42:38,1000,ovr,1,l2,,liblinear,89.7,"(1000, 784)",0.003864765167236328,0.23678374290466309,20.461722373962402,0.0001,91.2688888889,"(45000, 784)",0,False
243,,LogisticRegression,False,True,1,2018-01-28 19:47:27,1000,ovr,1,l2,,liblinear,85.7,"(1000, 784)",0.004032135009765625,0.23558402061462402,288.5368151664734,0.0001,95.2622222222,"(45000, 784)",0,False
